Pernambuco | Todos os Munic&iacute;pios
Munic&iacute;pio [-],C&oacute;digo [-],Gent&iacute;lico [-],Prefeito [2025],&Aacute;rea Territorial - km&sup2; [2024],Popula&ccedil;&atilde;o no &uacute;ltimo censo - pessoas [2022],Densidade demogr&aacute;fica - hab/km&sup2; [2022],Popula&ccedil;&atilde;o estimada - pessoas [2025],Escolariza&ccedil;&atilde;o &lt;span&gt;6 a 14 anos&lt;/span&gt; - % [2022],IDHM &lt;span&gt;&Iacute;ndice de desenvolvimento humano municipal&lt;/span&gt; [2010],Mortalidade infantil - &oacute;bitos por mil nascidos vivos [2023],Total de receitas brutas realizadas - R$ [2024],Total de despesas brutas empenhadas - R$ [2024],PIB per capita - R$ [2021],
Abreu e Lima,2600054,abreu-limense,FLAVIO VIEIRA GADELHA DE ALBUQUERQUE,126.384,98462,779.07,104248,99.09,0.679,10.53,311889181.41,308152744.46,17123.06,
Afogados da Ingazeira,2600104,afogadense,ALESANDRO PALMEIRA DE VASCONCELOS LEITE,378.031,40241,106.54,42672,98.39,0.657,24.69,216067853.44,214470901.08,14430.74,
Afr&acirc;nio,2600203,afraniense,CLOVES RAMOS DE MACEDO,1490.594,18674,12.53,19409,98.98,0.588,-,124421894.02,109062254.79,10500.7,
Agrestina,2600302,agrestinense,JOSU&Eacute; MENDES DA SILVA,200.369,23779,118.68,24680,99.31,0.592,10.61,137251224.34,127036997.96,13980.13,
&Aacute;gua Preta,2600401,&aacute;gua-pretense,ANTONIO MANOEL DA SILVA,531.935,26461,49.74,26981,99.06,0.553,11.49,146333568.98,137676911.83,6950.9,
&Aacute;guas Belas,2600500,&aacute;guas-belense,JOS&Eacute; ELTON MARTINS DE SOUZA,885.988,41548,46.89,43822,97.99,0.526,15.92,213671440.06,219542289.73,9132.13,
Alagoinha,2600609,alagoinhense,SIMAO CIRINEU DA COSTA NETO,208.149,13542,63.20,14460,98.25,0.599,29.13,80879965.85,77108674.97,9794.9,
Alian&ccedil;a,2600708,aliancense,PEDRO ERMIRIO DE ALMEIDA FREITAS FILHO,272.773,35741,131.03,37349,98.77,0.604,4.1,165520984.88,175846722.49,10761.16,
Altinho,2600807,altinense,MARIVALDO PENA,450.178,20674,45.92,21134,99.7,0.598,8.2,100081074.4,98054265.5,9679.46,
Amaraji,2600906,amarajinense,FL&Aacute;UCIO DE ARA&Uacute;JO GUIMAR&Atilde;ES,233.239,18205,78.05,18335,99.43,0.580,7.63,99650694.25,97710533.42,12850.59,
Angelim,2601003,angelinense,CARLOS HENRIQUE FIGUEIREDO LOPES LIMA,118.720,10241,86.72,10591,97.9,0.572,21.13,69165440.45,66935433.74,12588.25,
Ara&ccedil;oiaba,2601052,ara&ccedil;oiabense,CARLOS JOGLI ALBUQUERQUE TAVARES UCH&Ocirc;A,96.360,19243,199.70,19996,98.36,0.592,10.95,111568944.31,104519676.05,7732.35,
Araripina,2601102,araripinense,EVIL&Aacute;SIO MATEUS DA SILVA CARDOSO,2037.394,85088,41.76,90504,97.68,0.602,11.38,377202550.76,399934864.27,14912.98,
Arcoverde,2601201,arcoverdense,JOS&Eacute; CAVALCANTI ALVES J&Uacute;NIOR,343.923,77742,226.04,82487,99.12,0.667,11.7,327484071,317259552.36,16141.61,
Barra de Guabiraba,2601300,guabirabense,DIOGO CARLOS DE LIMA SILVA,118.639,12263,103.36,12601,97.48,0.577,-,82802652.68,72981696.67,10042.58,
Barreiros,2601409,barreirense,CARLOS ARTUR SOARES DE AVELLAR JUNIOR,233.433,40121,171.87,42083,97.92,0.586,10.64,206287775.15,206701612.34,11757.3,
Bel&eacute;m de Maria,2601508,belenense,ROBERTO PAULO DO NASCIMENTO SILVA,75.912,10378,141.88,10798,98.8,0.578,31.25,82449464.32,63580027.28,8176.47,
Bel&eacute;m do S&atilde;o Francisco,2601607,belenense,CALBY DE CARVALHO CRUZ,1830.828,18301,10.00,18648,99.34,0.642,7.19,118569601.06,114377628.13,17669.71,
Belo Jardim,2601706,belo-jardinense,GILVANDRO ESTRELA DE OLIVEIRA,647.445,79507,122.80,84033,97.1,0.629,12.57,376938631.19,342101292.22,35942.24,
Bet&acirc;nia,2601805,betaniense,ERIVALDO SEVERINO BEZERRA,1256.138,11232,9.03,11961,99.2,0.559,29.63,81493864.68,82089768.44,8220.08,
Bezerros,2601904,bezerrense,MARIA LUCIELLE SILVA LAURENTINO,497.156,61694,125.23,65007,98.53,0.606,9.52,259068932.52,242739337.99,15794.39,
Bodoc&oacute;,2602001,bodocoense,OT&Aacute;VIO AUGUSTO TAVARES PEDROSA CAVALCANTE,1621.786,34478,21.26,36145,98.53,0.565,14.89,182901907.66,178675214.97,8211.64,
Bom Conselho,2602100,conselhense,EDEZIO FERREIRA DOS SANTOS FILHO,790.774,44294,55.91,46202,98.5,0.563,14.93,230149280.29,239318617.94,13132.22,
Bom Jardim,2602209,bom-jardinense,JOAO FRANCISCO DA SILVA NETO,226.639,37629,167.91,39289,99.65,0.602,12.32,186735721.2,186482733.8,9165.99,
Bonito,2602308,bonitense,RUY BARBOSA,392.627,37474,95.31,39212,97.78,0.561,20.22,205725701.49,194606085.44,14155.54,
Brej&atilde;o,2602407,brejonense,SAULO HENRIQUE FLORENTINO DE BARROS,159.786,9079,56.82,9417,99.74,0.547,25.97,78745058.3,79570138.84,20451.9,
Brejinho,2602506,breijinhense,GILSOMAR BENTO DA COSTA,106.066,7720,72.80,8033,99.75,0.574,32.97,65334303.99,81131351.87,11200.23,
Brejo da Madre de Deus,2602605,brejense,ROBERTO ABRAHAM ABRAHAMIAN ASFORA,761.824,48648,63.81,51308,99.08,0.562,21.05,226327535.27,221369099.69,8924.43,
Buenos Aires,2602704,buenairense,HENRIQUE JOSE QUEIROZ COSTA,93.187,12808,137.44,13276,99.68,0.593,14.93,79391439.56,78677918.68,10068.94,
Bu&iacute;que,2602803,buiquense,T&Uacute;LIO HENRIQUE ARA&Uacute;JO CAVALCANTI,1336.544,52097,38.98,53489,97.67,0.527,16.19,248734097.75,232399641.11,9235.21,
Cabo de Santo Agostinho,2602902,cabense,LUIZ CABRAL DE OLIVEIRA FILHO,445.386,203440,456.77,218049,98.01,0.686,10.87,1391194493.1,1224966866.72,65022.05,
Cabrob&oacute;,2603009,cabroboense,ELIOENAI DIAS SANTOS FILHO,1658.616,30294,18.26,31762,98.61,0.623,23.26,175862578.16,175361790.42,12676.5,
Cachoeirinha,2603108,cachoeirinhense,ANDR&Eacute; PEDRO VALEN&Ccedil;A DE MELO RAIMUNDO,179.262,19899,111.01,20673,97.84,0.579,16.78,97623401.35,86664337.97,12337.22,
Caet&eacute;s,2603207,caeteense,NIVALDO DA SILVA MARTINS,294.946,28827,97.74,30571,99.49,0.522,22.78,150770952.61,134200382.18,14578.59,
Cal&ccedil;ado,2603306,cal&ccedil;adense,JOS&Eacute; ELIAS MACENA DE LIMA FILHO,121.435,11093,90.97,11453,99.69,0.566,8.77,64489382.31,67899521.87,10497.94,
Calumbi,2603405,calumbiense,ERIVALDO JOSE DA SILVA,179.314,5228,29.16,5354,99.41,0.571,-,53003933.51,53280473.21,8756.96,
Camaragibe,2603454,camaragibense,DIEGO DA ROCHA CABRAL,51.321,147771,2879.35,156112,96.76,0.692,15.06,622917947.46,551441283.61,13940.29,
Camocim de S&atilde;o F&eacute;lix,2603504,camociense ou camocinense,SOSTENES RUBANO NEVES PONTES,72.010,17419,241.90,18018,95.95,0.588,18.35,90864968.27,82384874.37,9518.74,
Camutanga,2603603,camutanguense,TALITA CARDOZO FONSECA,39.116,7750,198.13,7962,99.78,0.606,10.64,66583613.27,59319291.95,33213.32,
Canhotinho,2603702,canhotinhense,SANDRA REJANE LOPES DE BARROS,422.830,24329,57.49,25103,98.84,0.541,18.52,134530927.85,122660008.22,10232.04,
Capoeiras,2603801,capoeirense,JOAQUIM COSTA TEIXEIRA,337.108,18338,54.39,18854,100,0.549,16,126735542.46,111319629.33,12173.46,
Carna&iacute;ba,2603900,carnaibano,WAMBERG ANTONIO GOMES AMARAL,432.137,18644,43.58,19533,99.28,0.583,4.46,129006624.16,119935223.6,9841.63,
Carnaubeira da Penha,2603926,carnaubeirense,ELIZIO SOARES FILHO,1004.248,12239,12.18,12712,97.71,0.573,32.13,65395235.41,64216500.64,6359.89,
Carpina,2604007,carpinense,MARIA EDUARDA BAIMA TEIXEIRA GOUVEIA,146.494,79293,539.35,83482,99.18,0.680,9.99,330355282.08,298341247.88,20496.82,
Caruaru,2604106,caruaruense,RODRIGO ANSELMO PINHEIRO DOS SANTOS,919.069,378048,409.52,405408,97.41,0.677,12.64,1547948338.88,1572871614.23,23456.58,
Casinhas,2604155,casinhense,JULIANA BARBOSA DA SILVA AGUIAR,116.833,12967,111.91,13468,99.36,0.567,5.88,109568394.36,97033488.2,7052.53,
Catende,2604205,catendense,GRACINA MARIA RAMOS BRAZ DA SILVA,208.594,32156,154.16,33086,98.4,0.609,10.02,151884422.71,142684210.44,8236.25,
Cedro,2604304,cedrense,MARIA RIVA BEZERRA RODRIGUES,148.746,10518,70.71,10843,98.9,0.615,13.79,69193184.58,62938354.58,10474.55,
Ch&atilde; de Alegria,2604403,alegriense,MARCOS GOMES DO AMARAL,49.327,12984,263.22,13496,98.82,0.604,5.52,85360440.93,74042802.44,12371.37,
Ch&atilde; Grande,2604502,ch&atilde;-grandense,SANDRO CORREA DOS SANTOS,84.787,20546,242.32,21258,97.59,0.599,3.7,154825096.33,149274220.13,11454.82,
Condado,2604601,condadense,SEVERINO ALBINO DA SILVA FILHO,89.645,24587,274.27,25416,99.41,0.602,12.58,124278002.09,129324575.03,9378.26,
Correntes,2604700,correntense,EDIMILSON DA BAHIA DE LIMA GOMES,317.793,17131,53.91,17670,99.77,0.536,5.05,88860599.46,94656389.62,10477.19,
Cort&ecirc;s,2604809,cortesense,MARIA DE FATIMA CYSNEIROS SAMPAIO BORBA,103.416,10198,99.15,10426,98.97,0.568,20.55,80861151.62,77160500.11,9686.87,
Cumaru,2604908,cumaruense,MARIA ZENEIDE MEDEIROS DA COSTA,291.429,15920,54.48,16215,98.83,0.572,12.99,109093952.06,100074293.18,11508.33,
Cupira,2605004,cupirense,EDUARDO DA FONSECA LIRA,95.149,23518,247.15,24343,98.07,0.592,12.38,142621275.22,127483103.92,11700.13,
Cust&oacute;dia,2605103,custodiense,MANOEL MESSIAS DE SOUZA,1382.059,37699,26.85,39609,99.07,0.594,17.06,211493750.36,204305167.14,15780.83,
Dormentes,2605152,dormentense,MARIA DO SOCORRO COELHO DE SOUSA,1539.052,17188,11.17,17850,99.48,0.589,25.38,117639910.31,118640651.02,12783.05,
Escada,2605202,escadense,MARIA JOS&Eacute; FIDELIS MOURA GOUVEIA,342.156,59891,174.82,62174,99.3,0.632,12.14,241993875.76,283811486.27,18743.36,
Exu,2605301,exuense,JOS&Eacute; PINTO SARAIVA J&Uacute;NIOR,1336.786,31843,23.82,33486,97.81,0.576,7.92,182958399.24,171965971.92,10253.15,
Feira Nova,2605400,feira-novense,JOEL CANDIDO GONZAGA,107.726,21427,198.90,22222,97.86,0.600,7.07,120076307.85,114283353.56,11071.1,
Fernando de Noronha,2605459,noronhense,GUILHERME CAVALCANTI DA ROCHA LEIT&Atilde;O,18.609,3167,170.19,3341,98.85,0.788,-,-,-,73108.78,
Ferreiros,2605509,ferreirense,JOSE ROBERTO DE OLIVEIRA,92.516,15026,162.42,15955,98.98,0.622,-,68640317.6,61830573.71,10846.66,
Flores,2605608,florense,CICERO GILBERTO CAVALCANTI RIBEIRO,995.558,20347,20.44,20776,99.63,0.556,9.57,121832608.14,123868824.62,8530.94,
Floresta,2605707,florestano,ROSANGELA DE MOURA MANI&Ccedil;OBA NOVAES FERRAZ,3637.247,30137,8.36,31702,98.93,0.626,18.29,169055107.74,171334450.49,13294.71,
Frei Miguelinho,2605806,frei-miguelinhense,JOS&Eacute; LINDONALDO DE FRAN&Ccedil;A,213.735,13636,64.11,14055,98.82,0.576,19.87,74669347.68,65482884.48,8407.94,
Gameleira,2605905,gameleirense,LEANDRO RIBEIRO GOMES DE LIMA,257.781,18214,70.66,17583,98.88,0.602,8.26,126483283.61,105985482.58,8685.09,
Garanhuns,2606002,garanhuense,SIVALDO RODRIGUES ALBINO,458.964,142506,310.77,151803,98.72,0.664,10.12,633552654.6,620186950.87,21769.91,
Gl&oacute;ria do Goit&aacute;,2606101,gloriense,JAIME DE LIMA GOMES SOBRINHO,234.486,29347,125.04,30420,98.32,0.604,8.72,152545171.3,137876047.26,17979.59,
Goiana,2606200,goianense,EDUARDO BATISTA,445.405,81055,181.98,85497,97.53,0.651,17.18,862258577.67,940108578.16,132714.72,
Granito,2606309,granitense,GEORGE WASHINGTON PEREIRA ALENCAR,521.690,6967,13.35,7217,99.37,0.595,-,57401469.9,55666822.13,10339,
Gravat&aacute;,2606408,gravataense,JOSELITO GOMES DA SILVA,507.360,86516,170.52,92429,99.1,0.634,11.63,339673848.65,330383043.96,15938.31,
Iati,2606507,iatiense,CAMILA APARECIDA TENORIO SOUTO DE SOUZA,635.137,17165,27.03,17570,97.88,0.528,18.73,117711681.81,118698057.44,10153.51,
Ibimirim,2606606,ibimiriense,JOS&Eacute; WELLITON DE MELO SIQUEIRA,1929.338,26593,14.13,28825,96.23,0.552,21.45,136509777.05,128191887.7,11158.32,
Ibirajuba,2606705,ibirajubense,MARIA IZALTA SILVA LOPES GAMA,189.596,7140,37.66,7334,98.96,0.580,9.9,63050909.11,64815757.73,11003.14,
Igarassu,2606804,igarassuense ou igarassuano,ELCIONE DA SILVA RAMOS PEDROZA BARBOSA,306.879,115196,375.38,123017,98.11,0.665,13.59,501348092.55,485549756.96,29003.48,
Iguaracy,2606903,iguaraciense,PEDRO ALVES DE OLIVEIRA NETO,836.046,11081,13.22,11347,99.05,0.598,35.09,85405956.47,83910059.22,9161.79,
Inaj&aacute;,2607000,inajaense,MARCELO MACHADO FREIRE,1240.961,25603,20.79,27758,97.57,0.523,17.65,143994379.32,135004214.53,8191.73,
Ingazeira,2607109,ingazeirense,LUCIANO TORRES MARTINS,243.858,4765,19.56,4975,99.09,0.608,-,46458945.05,45204714.34,11130.08,
Ipojuca,2607208,ipojuquense ou ipojucanos,CARLOS JOS&Eacute; DE SANTANA,521.801,98932,189.60,106539,98.76,0.619,8.78,1911882415.2,1707189429.54,150647.79,
Ipubi,2607307,ipubiense,JO&Atilde;O MARCOS SIQUEIRA TORRES,693.914,29009,41.80,30720,97.25,0.550,11.9,175766843.45,172422339.76,10800.4,
Itacuruba,2607406,itacurubense,OLEGARIO JUNIOR CANTARELLI,436.528,4284,9.96,4491,100,0.595,13.33,53637164.94,48265487.86,14220.22,
Ita&iacute;ba,2607505,itaibense,PEDRO TEOT&Ocirc;NIO DA SILVA NETO,1034.044,32650,30.75,33995,98.53,0.510,15.46,142550031.51,142795450.65,10789.31,
Ilha de Itamarac&aacute;,2607604,itamaracaense,PAULO FERNANDO PIMENTEL GALV&Atilde;O,66.146,24540,371.00,25658,99.67,0.653,20,112795937.29,102085473.98,11051.57,
Itamb&eacute;,2607653,itambeense,ARMANDO PIMENTEL DA ROCHA,304.006,34935,114.92,36652,98.86,0.575,13.59,144248909.42,151583532.61,14321.34,
Itapetim,2607703,itapetinense,ALINE KARINA ALVES DA COSTA,411.875,13791,33.48,14236,98.01,0.592,17.44,97001525.3,96207781.69,10367.12,
Itapissuma,2607752,itapissumense,VALDEMIR LOUREN&Ccedil;O DOS SANTOS J&Uacute;NIOR,73.968,27749,375.15,29669,98.06,0.633,8.22,211797460.98,193851101.7,87814.64,
Itaquitinga,2607802,itaquitinguense,PATRICK JOSE DE OLIVEIRA MORAES,162.739,16554,101.72,17142,98.69,0.586,11.76,89209018.88,77331180.18,9431.09,
Jaboat&atilde;o dos Guararapes,2607901,jaboat&atilde;oense,LUIZ JOS&Eacute; INOJOSA DE MEDEIROS,258.724,644037,2489.28,684293,97.61,0.717,13.41,2398315215.42,2244393765.98,22680.83,
Jaqueira,2607950,jaqueirense,RIDETE CELLIBE PELLEGRINO DE MACEDO OLIVEIRA,87.208,10247,117.50,10440,97.72,0.575,13.51,76761793.17,69042137.65,9611.54,
Jata&uacute;ba,2608008,jataubense,C&Aacute;TIA JUNSARA RODRIGUES AQUILINO,714.601,15843,22.17,16328,98.82,0.530,19.61,112198672.29,96060877.09,8948.98,
Jatob&aacute;,2608057,jatobaense,ROG&Eacute;RIO FERREIRA GOMES DA SILVA,277.862,14020,50.46,14477,99.05,0.645,11.24,81534519.41,75149940.78,10318.9,
Jo&atilde;o Alfredo,2608107,alfredense,JOS&Eacute; ANTONIO MARTINS DA SILVA,134.147,27725,206.68,28842,99.55,0.576,22.58,155257829.09,149093331.99,9432.35,
Joaquim Nabuco,2608206,nabuquense,MARCIA ROBERTA BARRETO,122.605,13269,108.24,13416,99.8,0.554,-,79007610.3,76843632.14,11332.6,
Jucati,2608255,jucatiense,CLELSON LUIS APARECIDO DE MELO,120.167,11517,95.56,12023,99.49,0.550,6.9,91426876.26,86375484.32,11197.05,
Jupi,2608305,jupiense,RIVANDA MARIA FREIRE LIMA TEIXEIRA,104.835,15329,146.22,16022,99.72,0.575,12.45,132421582.8,142769517.11,14274.96,
Jurema,2608404,juremense,EDVALDO MARCOS RAMOS FERREIRA,148.254,13648,92.06,14002,99.13,0.509,16.95,96937075.56,89891769.61,8579.73,
Lagoa do Carro,2608453,lagoense do carro,JOSE LUIZ ALVES DE AMORIM,69.244,17981,258.10,18804,97.55,0.609,28.44,107023057.71,99085247.32,16313.12,
Lagoa de Itaenga,2608503,itaenguense,DIMAS CAETANO DE SOUSA,57.298,19003,338.55,19863,98.86,0.602,20.41,123147699.49,114445943.77,22468.99,
Lagoa do Ouro,2608602,lagoa-do-ourense,EDSON LOPES CAVALCANTE,199.996,11933,60.04,12367,99.38,0.525,6.99,100014519.01,98178836.99,10467.9,
